"BehaviorSpace results (NetLogo 6.0)"
"socio-eco-nw.nlogo"
"equilibrium-bio"
"03/04/2017 13:24:43:447 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","r","harvest-rate","alpha","k","link-prob","beta","conversion-efficiency","death-rate","n","[step]","[size] of ecosystem 1"
"2","0.1","1.0E-6","0.91","1","0","0.9","1.0E-4","4.0E-7","1","24220","0.45156156322555574"
"3","0.1","1.0E-6","0.92","1","0","0.9","1.0E-4","4.0E-7","1","25084","0.5085287431121523"
"4","0.1","1.0E-6","0.93","1","0","0.9","1.0E-4","4.0E-7","1","27425","0.5707975047643419"
"5","0.1","1.0E-6","0.94","1","0","0.9","1.0E-4","4.0E-7","1","30438","0.637793744860014"
"6","0.1","1.0E-6","0.95","1","0","0.9","1.0E-4","4.0E-7","1","34378","0.7081487922838303"
"7","0.1","1.0E-6","0.96","1","0","0.9","1.0E-4","4.0E-7","1","39402","0.7792159558712844"
"1","0.1","1.0E-6","0.9","1","0","0.9","1.0E-4","4.0E-7","1","22269","0.400000000000037"
"8","0.1","1.0E-6","0.97","1","0","0.9","1.0E-4","4.0E-7","1","45459","0.8465262390608511"
"9","0.1","1.0E-6","0.98","1","0","0.9","1.0E-4","4.0E-7","1","51667","0.9038540427864684"
"10","0.1","1.0E-6","0.99","1","0","0.9","1.0E-4","4.0E-7","1","55326","0.9455303310912682"
"12","0.1","1.0E-6","1.01","1","0","0.9","1.0E-4","4.0E-7","1","49714","0.9841798897103265"
"13","0.1","1.0E-6","1.02","1","0","0.9","1.0E-4","4.0E-7","1","44111","0.9909833007079427"
"14","0.1","1.0E-6","1.03","1","0","0.9","1.0E-4","4.0E-7","1","38840","0.9945240465362113"
"15","0.1","1.0E-6","1.04","1","0","0.9","1.0E-4","4.0E-7","1","34301","0.9964657199457162"
"16","0.1","1.0E-6","1.05","1","0","0.9","1.0E-4","4.0E-7","1","30521","0.9975936319035782"
"17","0.1","1.0E-6","1.06","1","0","0.9","1.0E-4","4.0E-7","1","27337","0.9982851750415463"
"11","0.1","1.0E-6","1","1","0","0.9","1.0E-4","4.0E-7","1","54231","0.9707870271467582"
"18","0.1","1.0E-6","1.07","1","0","0.9","1.0E-4","4.0E-7","1","24733","0.9987299545288673"
"19","0.1","1.0E-6","1.08","1","0","0.9","1.0E-4","4.0E-7","1","22508","0.9990281735323709"
"20","0.1","1.0E-6","1.09","1","0","0.9","1.0E-4","4.0E-7","1","20621","0.9992354505720606"
"22","0.1","1.0E-6","0.9","1","0","0.91","1.0E-4","4.0E-7","1","18299","0.3541616134061767"
"23","0.1","1.0E-6","0.91","1","0","0.91","1.0E-4","4.0E-7","1","19356","0.400000000000037"
"21","0.1","1.0E-6","1.1","1","0","0.9","1.0E-4","4.0E-7","1","19022","0.9993840776614171"
"25","0.1","1.0E-6","0.93","1","0","0.91","1.0E-4","4.0E-7","1","21890","0.5072186911694001"
"24","0.1","1.0E-6","0.92","1","0","0.91","1.0E-4","4.0E-7","1","21107","0.4509656906715209"
"26","0.1","1.0E-6","0.94","1","0","0.91","1.0E-4","4.0E-7","1","23823","0.5686644742945892"
"28","0.1","1.0E-6","0.96","1","0","0.91","1.0E-4","4.0E-7","1","29975","0.7042332826542699"
"29","0.1","1.0E-6","0.97","1","0","0.91","1.0E-4","4.0E-7","1","34468","0.7745861117421433"
"27","0.1","1.0E-6","0.95","1","0","0.91","1.0E-4","4.0E-7","1","26567","0.6347645266614139"
"30","0.1","1.0E-6","0.98","1","0","0.91","1.0E-4","4.0E-7","1","39872","0.8416169958913131"
"31","0.1","1.0E-6","0.99","1","0","0.91","1.0E-4","4.0E-7","1","45574","0.8993812765873795"
"32","0.1","1.0E-6","1","1","0","0.91","1.0E-4","4.0E-7","1","49423","0.9421798066509903"
"34","0.1","1.0E-6","1.02","1","0","0.91","1.0E-4","4.0E-7","1","45764","0.983000084750089"
"35","0.1","1.0E-6","1.03","1","0","0.91","1.0E-4","4.0E-7","1","41059","0.9903241293926874"
"37","0.1","1.0E-6","1.05","1","0","0.91","1.0E-4","4.0E-7","1","32336","0.9962333348980504"
"36","0.1","1.0E-6","1.04","1","0","0.91","1.0E-4","4.0E-7","1","36412","0.9941423931788869"
"38","0.1","1.0E-6","1.06","1","0","0.91","1.0E-4","4.0E-7","1","28884","0.9974447789394909"
"33","0.1","1.0E-6","1.01","1","0","0.91","1.0E-4","4.0E-7","1","49295","0.9686981971771416"
"39","0.1","1.0E-6","1.07","1","0","0.91","1.0E-4","4.0E-7","1","25994","0.9981853310651528"
"40","0.1","1.0E-6","1.08","1","0","0.91","1.0E-4","4.0E-7","1","23581","0.9986602223828271"
"41","0.1","1.0E-6","1.09","1","0","0.91","1.0E-4","4.0E-7","1","21508","0.9989777380516335"
"43","0.1","1.0E-6","0.9","1","0","0.92","1.0E-4","4.0E-7","1","15109","0.31399478766614175"
"42","0.1","1.0E-6","1.1","1","0","0.91","1.0E-4","4.0E-7","1","19787","0.9991978528771014"
"45","0.1","1.0E-6","0.92","1","0","0.92","1.0E-4","4.0E-7","1","16867","0.400000000000037"
"44","0.1","1.0E-6","0.91","1","0","0.92","1.0E-4","4.0E-7","1","16014","0.3546332769748165"
"46","0.1","1.0E-6","0.93","1","0","0.92","1.0E-4","4.0E-7","1","18249","0.45038340593175086"
"48","0.1","1.0E-6","0.95","1","0","0.92","1.0E-4","4.0E-7","1","20985","0.5665828827917609"
"49","0.1","1.0E-6","0.96","1","0","0.92","1.0E-4","4.0E-7","1","23259","0.6318077865177805"
"47","0.1","1.0E-6","0.94","1","0","0.92","1.0E-4","4.0E-7","1","19137","0.5059396169940602"
