"BehaviorSpace results (NetLogo 6.0)"
"socio-eco-nw.nlogo"
"equilibrium-pop"
"03/04/2017 12:00:48:448 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","r","harvest-rate","alpha","k","link-prob","beta","conversion-efficiency","death-rate","n","[step]","[size] of social-system 0"
"4","0.1","1.0E-6","0.9","1","0","0.93","1.0E-4","4.0E-7","1","12719","167375.6815278188"
"3","0.1","1.0E-6","0.9","1","0","0.92","1.0E-4","4.0E-7","1","15071","180666.49766997615"
"6","0.1","1.0E-6","0.9","1","0","0.95","1.0E-4","4.0E-7","1","8327","140903.10814761263"
"1","0.1","1.0E-6","0.9","1","0","0.9","1.0E-4","4.0E-7","1","22240","203730.91930106265"
"5","0.1","1.0E-6","0.9","1","0","0.94","1.0E-4","4.0E-7","1","10331","153966.68311879318"
"8","0.1","1.0E-6","0.9","1","0","0.97","1.0E-4","4.0E-7","1","5129","116832.83284010463"
"9","0.1","1.0E-6","0.9","1","0","0.98","1.0E-4","4.0E-7","1","5495","106064.06335393488"
"7","0.1","1.0E-6","0.9","1","0","0.96","1.0E-4","4.0E-7","1","6547","128471.2678943913"
"10","0.1","1.0E-6","0.9","1","0","0.99","1.0E-4","4.0E-7","1","5153","96184.27672508637"
"11","0.1","1.0E-6","0.9","1","0","1","1.0E-4","4.0E-7","1","5749","87176.09625499301"
"12","0.1","1.0E-6","0.9","1","0","1.01","1.0E-4","4.0E-7","1","5984","78999.61235769062"
"14","0.1","1.0E-6","0.9","1","0","1.03","1.0E-4","4.0E-7","1","6868","64924.72230742132"
"13","0.1","1.0E-6","0.9","1","0","1.02","1.0E-4","4.0E-7","1","6257","71602.12439961305"
"17","0.1","1.0E-6","0.9","1","0","1.06","1.0E-4","4.0E-7","1","8110","48611.68136122872"
"15","0.1","1.0E-6","0.9","1","0","1.04","1.0E-4","4.0E-7","1","7172","58906.635619961395"
"16","0.1","1.0E-6","0.9","1","0","1.05","1.0E-4","4.0E-7","1","8078","53488.02258902004"
"2","0.1","1.0E-6","0.9","1","0","0.91","1.0E-4","4.0E-7","1","18277","193130.28865901328"
